year,title,author,id,community
1605,Advancement of Learning,Francis Bacon,0,0
1620,New Organon,Francis Bacon,1,0
1689,A Letter Concerning Toleration,John Locke,16,0
1689,An Essay Concerning Human Understanding,John Locke,17,0
1693,Some Thoughts Concerning Education,John Locke,20,0
1708,Discourse Concerning the Unchangeable Obligation of Natural Religion,Samuel Clarke,25,0
1709,An Essay Towards a New Theory of Vision,George Berkeley,26,0
1710,Treatise Concerning the Principles of Human Knowledge,George Berkeley,28,0
1713,A Discourse of Free-thinking,Anthony Collins,29,0
1713,Three Dialogues Between Hylas and Philonous,George Berkeley,30,0
1725,An Inquiry into the Original of our Ideas of Beauty and Virtue,Francis Hutcheson,35,0
1728,"An Essay on the Nature and Conduct of the Passions, with Illustrations on the Moral Sense",Francis Hutcheson,38,0
1730,"Christianity as Old as the Creation; or, the Gospel a Republication of the Religion of Nature",Matthew Tindal,39,0
1733,Letters concerning the English nation,Voltaire,43,0
1736,Analogy of Religion,Joseph Butler,45,0
1749,Observations on Man,David Hartley,53,0
1755,A System Of Moral Philosophy,Francis Hutcheson,60,0
1759,The Theory of Moral Sentiments,Adam Smith,62,0
1764,An Inquiry into the Human Mind on the Principles of Common Sense,Thomas Reid,64,0
1767,An Essay on the History of Civil Society,Adam Ferguson,68,0
1769,Institutes of Moral Philosophy,Adam Ferguson,69,0
1779,Dialogues Concerning Natural Religion,David Hume,73,0
1785,Essays on the Intellectual Powers of Man,Thomas Reid,78,0
1788,Essays on the Active Powers of the Human Mind,Thomas Reid,81,0
1831,A preliminary discourse on the study of natural philosophy,John Herschel,113,0
1837,History of the Inductive Sciences,William Whewell,118,0
1840,The Philosophy of the Inductive Sciences,William Whewell,120,0
1843,A System of Logic ,John Stuart Mill,126,0
1847,Formal Logic,Augustus De Morgan,132,0
1847,The Mathematical Analysis of Logic,George Boole,131,0
1852,"Discussions in Philosophy, Literature and Education",Sir William Hamilton,136,0
1870,Elementary Lessons in Logic,William Stanley Jevons,146,0
1877,Illustrations of the Logic of Science,Charles Sanders Peirce,156,0
1892,The Grammar of Science,Karl Pearson,176,0
1923,Scepticism and Animal Faith,George Santayana,241,0
1926,Statement and Inference,John Cook Wilson,247,0
1929,Process and Reality,Alfred North Whitehead,254,0
1938,The Principles of Art ,R. G. Collingwood,284,0
1940,The Foundations of Empirical Knowledge,Alfred Jules Ayer,289,0
1945,A History of Western Philosophy,Bertrand Russell,301,0
1951,The Rise of Scientific Philosophy,Hans Reichenbach,321,0
1637,Discourse on the Method,René Descartes,2,1
1641,Meditations on First Philosophy,René Descartes,3,1
1644,Principles of Philosophy,René Descartes,4,1
1650,Passions of the Soul,René Descartes,5,1
1655,On the Body,Thomas Hobbes,6,1
1663,The Principles of Cartesian Philosophy,Baruch Spinoza,8,1
1670,Thoughts,Blaise Pascal,9,1
1674,The Search after Truth,Nicolas Malebranche,10,1
1677,Treatise on the Emendation of the Intellect,Baruch Spinoza,13,1
1688,Dialogues on Metaphysics and Religion,Nicolas Malebranche,15,1
1695,A New System of the Nature and the Communication of Substances,Gottfried Leibniz,23,1
1695,The Reasonableness of Christianity: As Delivered in the Scriptures,John Locke,22,1
1695,Historical and Critical Dictionary,Pierre Bayle,21,1
1696,Christianity Not Mysterious,John Toland,24,1
1710,Theodicy,Gottfried Leibniz,27,1
1720,Monadology,Gottfried Leibniz,33,1
1720,Tetradymus,John Toland,34,1
1731,A Treatise concerning eternal and immutable Morality,Ralph Cudworth,40,1
1745,Histoire Naturelle de l'Ame,Julien Offray de La Mettrie,48,1
1746,"Various Conjectures on the Perception, Motion, and Generation of Ideas",David Hartley,50,1
1746,Essay on the Origin of Human Knowledge,Étienne Bonnot de Condillac,49,1
1747,Man a Machine,Julien Offray de La Mettrie,51,1
1751,Encyclopedia,Denis Diderot,56,1
1751,Preliminary Discourse to the Encyclopedia of Diderot,Jean le Rond d'Alembert,57,1
1754,Treatise on Sensations,Étienne Bonnot de Condillac,59,1
1758,On Mind,Claude Adrien Helvétius,61,1
1762,Emile,Jean-Jacques Rousseau,63,1
1764,Dictionnaire philosophique,Voltaire,65,1
1765,New Essays on Human Understanding,Gottfried Leibniz,66,1
1770,The System of Nature,Baron d'Holbach,70,1
1772,Good Sense,Baron d'Holbach,71,1
1785,Principles of Moral and Political Philosophy,William Paley,79,1
1789,Essay to a New Theory of the Human Faculty of Representation,Karl Leonhard Reinhold,84,1
1794,Foundations of the Science of Knowledge,Johann Gottlieb Fichte,87,1
1796,Foundations of Natural Right,Johann Gottlieb Fichte,89,1
1797,Ideas Concerning a Philosophy of Nature,Friedrich Wilhelm Joseph Schelling,91,1
1798,The System of Ethics,Johann Gottlieb Fichte,92,1
1803,Outlines of a Critique of the Doctrines of Morality to date,Friedrich Schleiermacher,99,1
1809,Philosophical Inquiries into the Essence of Human Freedom,Friedrich Wilhelm Joseph Schelling,103,1
1813,On the Fourfold Root of the Principle of Sufficient Reason,Arthur Schopenhauer,105,1
1833,Lectures on the History of Philosophy,Georg Wilhelm Friedrich Hegel,114,1
1841,The Two Fundamental Problems of Ethics,Arthur Schopenhauer,121,1
1846,The Essence of Religion,Ludwig Feuerbach,130,1
1848,"Nanna, or the soul-life of plants",Gustav Fechner,133,1
1851,Parerga and Paralipomena,Arthur Schopenhauer,135,1
1855,Force and Matter: Empiricophilosophical Studies,Ludwig Büchner,138,1
1871,Kant's Theory of Experience,Hermann Cohen,147,1
1878,The Fundamental Ideas of the Present,Rudolf Eucken,158,1
1883,The Science of Mechanics,Ernst Mach,161,1
1890,The Problem of Human Life as Viewed by the Great Thinkers,Rudolf Eucken,171,1
1892,History of Philosophy,Wilhelm Windelband,177,1
1900,Laughter: An Essay on the Meaning of the Comic,Henri Bergson,186,1
1906,The Aim and Structure of Physical Theory,Pierre Duhem,201,1
1916,Democracy and Education,John Dewey,219,1
1925,Science and the Modern World,Alfred North Whitehead,243,1
1936,The Great Chain of Being,Arthur Oncken Lovejoy,277,1
1944,What Is Life?,Erwin Schrödinger,297,1
1658,On man,Thomas Hobbes,7,2
1719,German Metaphysics,Christian Wolff,32,2
1725,The New Science,Giambattista Vico,36,2
1732,Psychologia empirica,Christian Wolff,41,2
1734,Psychologia rationalis,Christian Wolff,44,2
1739,Metaphysica,Alexander Gottlieb Baumgarten,46,2
1750,Aesthetica,Alexander Gottlieb Baumgarten,54,2
1750,Discourse on the Arts and Sciences ,Jean-Jacques Rousseau,55,2
1784,Philosophy of History of Humanity,Johann Gottfried Herder,76,2
1795,Sketch for a Historical Picture of the Progress of the Human Mind,Marquis de Condorcet,88,2
1799,On Religion,Friedrich Schleiermacher,93,2
1806,Allgemeine Pädagogik,Johann Friedrich Herbart,100,2
1808,General Practical Philosophy,Johann Friedrich Herbart,102,2
1816,Compendium of psychology,Johann Friedrich Herbart,106,2
1828,General Metaphysics,Johann Friedrich Herbart,112,2
1876,Propaedentic to aesthetic,Gustav Fechner,154,2
1883,Introduction to Human Sciences,Wilhelm Dilthey,162,2
1892,The Problems of the Philosophy of History,Georg Simmel,174,2
1894,The Beginnings of Art,Ernst Grosse,179,2
1896,The Sense of Beauty,George Santayana,181,2
1899,Kulturwissenschaft und Naturwissenschaft,Heinrich Rickert,184,2
1902,Aesthetic as Science of Expression and General Linguistic,Benedetto Croce,191,2
1905,Logic as the Science of the Pure Concept,Benedetto Croce,198,2
1909,"Filosofia della pratica, economia ed etica",Benedetto Croce,208,2
1910,The Structure of the Historical World in the Human Sciences,Wilhelm Dilthey,210,2
1917,History: Its Theory and Practice,Benedetto Croce,221,2
1919,Religion of Reason out of the Sources of Judaism,Hermann Cohen,225,2
1921,The Nature of Existence ,J. M. E. McTaggart,230,2
1923,Theorie des objektiven Geistes,Hans Freyer,238,2
1930,The Revolt of the Masses,José Ortega y Gasset,256,2
1932,Philosophy,Karl Jaspers,262,2
1934,Revolt Against the Modern World,Julius Evola,270,2
1938,The Problem of Historical Knowledge,Maurice Mandelbaum,283,2
1938,Introduction to the Philosophy of History,Raymond Aron,287,2
1946,The Idea of History,R. G. Collingwood,305,2
1949,The Origin and Goal of History,Karl Jaspers,318,2
1949,Meaning in History ,Karl Löwith,315,2
1953,Philosophical Investigations,Ludwig Wittgenstein,326,2
1675,Ethics,Arnold Geulincx,11,3
1677,Ethics,Baruch Spinoza,12,3
1767,"Phaedo, or on the Immortality of the Soul",Moses Mendelssohn,67,3
1781,Critique of Pure Reason,Immanuel Kant,74,3
1788,Critique of Practical Reason,Immanuel Kant,82,3
1790,Critique of Judgment,Immanuel Kant,85,3
1797,The Metaphysics of Morals,Immanuel Kant,90,3
1800,System of Transcendental Idealism,Friedrich Wilhelm Joseph Schelling,95,3
1807,The Phenomenology of Spirit,Georg Wilhelm Friedrich Hegel,101,3
1812,Science of Logic,Georg Wilhelm Friedrich Hegel,104,3
